year,i_iso3,pop
2004,JPN,128204183
2004,KHM,13066475
2004,KIR,90498
2004,KOR,48493434
2004,LAO,5662199
2004,LKA,19387153
2004,MAC,471600
2004,MDV,311265
2004,MHL,54476
2004,MMR,48564489
2004,MNG,2496394
2004,MNP,57240
2004,MYS,25190647
2004,NCL,232881
2004,NIU,1713
2004,NPL,25419337
2004,NRU,9906
2004,NZL,4080421
2004,PAK,156664698
2004,PHL,84710544
2004,PLW,19861
2004,PNG,6354247
2004,PRK,23732740
2004,PYF,255995
2004,ROA,258592889
2004,SCA,550500238
2004,SGP,4177202
2004,SLB,458549
2004,THA,64995303
2004,TKL,1265
2004,TLS,971889
2004,TON,100214
2004,TUV,9871
2004,TWN,22570229
2004,USA,292354663
2004,VNM,83062819
2004,VUT,204123
2004,WLF,15097
2004,WSM,178597
2005,AFG,25654274
2005,AFR,926927113
2005,ASM,59557
2005,AUS,20178543
2005,BGD,139035505
2005,BRN,365112
2005,BTN,648744
2005,CAN,32164313
2005,CHN,1330776380
2005,COK,19070
2005,EUR,727179870
2005,FJI,821606
2005,FSM,106135
2005,GUM,158406
2005,HKG,6769579
2005,IDN,226289468
2005,IND,1147609924
2005,IRN,69762345
2005,JPN,128326115
2005,KHM,13273355
2005,KIR,92319
2005,KOR,48701069
2005,LAO,5751675
2005,LKA,19544988
2005,MAC,482863
2005,MDV,319604
2005,MHL,55257
2005,MMR,48949931
2005,MNG,2526429
2005,MNP,56547
2005,MYS,25690615
2005,NCL,236441
2005,NIU,1688
2005,NPL,25744500
2005,NRU,9848
2005,NZL,4135353
2005,PAK,160304007
2005,PHL,86326251
2005,PLW,19784
2005,PNG,6494902
2005,PRK,23904167
2005,PYF,258780
2005,ROA,264014159
2005,SCA,557442961
2005,SGP,4265693
2005,SLB,469918
2005,THA,65416189
2005,TKL,1213
2005,TLS,995130
2005,TON,100908
2005,TUV,9997
2005,TWN,22705719
2005,USA,294993509
2005,VNM,83832662
2005,VUT,209282
2005,WLF,14937
2005,WSM,179722
2006,AFG,26433058
2006,AFR,950280331
2006,ASM,59109
2006,AUS,20526300
2006,BGD,140921154
2006,BRN,370262
2006,BTN,657404
2006,CAN,32536994
2006,CHN,1338408644
2006,COK,19094
2006,EUR,728435928
2006,FJI,827869
2006,FSM,105374
2006,GUM,158649
2006,HKG,6802083
2006,IDN,229318262
2006,IND,1165486291
2006,IRN,70554756
2006,JPN,128422740
2006,KHM,13477705
2006,KIR,94341
2006,KOR,48880449
2006,LAO,5846075
2006,LKA,19695977
2006,MAC,493804
2006,MDV,327489
2006,MHL,55765
2006,MMR,49301049
2006,MNG,2558854
2006,MNP,55886
2006,MYS,26201954
2006,NCL,239924
2006,NIU,1667
2006,NPL,26066687
2006,NRU,9827
2006,NZL,4185882
2006,PAK,164022626
2006,PHL,87888675
2006,PLW,19545
2006,PNG,6646891
2006,PRK,24054866
2006,PYF,261007
2006,ROA,269816330
2006,SCA,564321955
2006,SGP,4402324
2006,SLB,481086
2006,THA,65812540
2006,TKL,1165
2006,TLS,1016437
2006,TON,101714
2006,TUV,10118
2006,TWN,22823846
2006,USA,297758977
2006,VNM,84617545
2006,VUT,214379
