year,o_name,d_name,q50,q10,q90
2000,CHN,USA,822230.5,703836.1,971786.9
2000,CHN,VNM,47708.5,36650,63755.8
2000,CHN,VUT,27,23,34
2000,CHN,WLF,5,4,6
2000,CHN,WSM,29,24,37
2000,CHN,AFR,80077,67702.8,96277.6
2000,CHN,EUR,1123521,949899.2,1350832.3
2000,CHN,ROA,182558,154346.5,219493.2
2000,CHN,SCA,188812.5,159635.1,227013.2
2000,COK,AFG,0,0,0
2000,COK,ASM,0,0,0
2000,COK,AUS,47,37,58.1
2000,COK,BGD,0,0,1
2000,COK,BRN,0,0,0
2000,COK,BTN,0,0,0
2000,COK,CAN,0,0,0
2000,COK,CHN,0,0,0
2000,COK,COK,0,0,0
2000,COK,FJI,2,1,2
2000,COK,FSM,0,0,0
2000,COK,GUM,0,0,0
2000,COK,HKG,0,0,0
2000,COK,IDN,38,29,50
2000,COK,IND,0,0,0
2000,COK,IRN,0,0,0
2000,COK,JPN,27,21,33
2000,COK,KHM,0,0,0
2000,COK,KIR,0,0,0
2000,COK,KOR,0,0,1
2000,COK,LAO,0,0,0
2000,COK,LKA,0,0,0
2000,COK,MAC,0,0,0
2000,COK,MDV,0,0,0
2000,COK,MHL,0,0,0
2000,COK,MMR,0,0,0
2000,COK,MNG,0,0,0
2000,COK,MNP,0,0,0
2000,COK,MYS,0,0,0
2000,COK,NCL,0,0,0
2000,COK,NIU,0,0,0
2000,COK,NPL,0,0,0
2000,COK,NRU,0,0,0
2000,COK,NZL,108,84,133
2000,COK,PAK,0,0,0
2000,COK,PHL,1,1,2
2000,COK,PLW,0,0,0
2000,COK,PNG,2,1,2
2000,COK,PRK,0,0,0
2000,COK,PYF,0,0,1
2000,COK,SGP,0,0,0
2000,COK,SLB,0,0,0
2000,COK,THA,3,2,4
2000,COK,TKL,0,0,0
2000,COK,TLS,0,0,0
2000,COK,TON,0,0,0
2000,COK,TUV,0,0,0
2000,COK,TWN,0,0,0
2000,COK,USA,28,22,34
2000,COK,VNM,7,5,9
2000,COK,VUT,0,0,0
2000,COK,WLF,0,0,0
2000,COK,WSM,0,0,0
2000,COK,AFR,4,4,6
2000,COK,EUR,17,13,21
2000,COK,ROA,0,0,0
2000,COK,SCA,7,5,9
2000,EUR,AFG,26805.5,23805.1,30475.2
2000,EUR,ASM,0,0,0
2000,EUR,AUS,122600,122238.7,122986.2
2000,EUR,BGD,72957.5,63566,84045.1
2000,EUR,BRN,1194.5,1055.9,1362.1
2000,EUR,BTN,2749,2463.9,3128
2000,EUR,CAN,68131,67877.8,68381
2000,EUR,CHN,357742.5,302952,430062.4
2000,EUR,COK,1,1,1
2000,EUR,FJI,134,120,150
2000,EUR,FSM,9,8,10
2000,EUR,GUM,1,0,2
2000,EUR,HKG,5022,4048.5,6295.6
2000,EUR,IDN,62257,55544.4,70970.3
2000,EUR,IND,983798,841037.8,1162514
2000,EUR,IRN,122415.5,107912.1,139106.7
2000,EUR,JPN,96839,86026.4,110582.5
2000,EUR,KHM,7639,6842.8,8803.9
2000,EUR,KIR,19,16,22
2000,EUR,KOR,16791,16640,16930.1
2000,EUR,LAO,3625,3263.8,4150.1
2000,EUR,LKA,30946.5,27285.1,35061.5
2000,EUR,MAC,492,440.9,565.1
2000,EUR,MDV,331,294,372
2000,EUR,MHL,36,32,41.1
2000,EUR,MMR,5053.5,4545,5691.6
2000,EUR,MNG,8472,7566.6,9537.1
2000,EUR,MNP,97,84.9,113
2000,EUR,MYS,21757,19322.1,24727.4
2000,EUR,NCL,1576,1440,1737
2000,EUR,NIU,5,4,6
2000,EUR,NPL,21256.5,18630.7,24598.1
2000,EUR,NRU,20,17,22
2000,EUR,NZL,12947.5,12673,13240
2000,EUR,PAK,178104.5,155532.9,205550.2
2000,EUR,PHL,27387.5,24478.8,31103.8
2000,EUR,PLW,2,2,3
2000,EUR,PNG,2335.5,2015.9,2788
2000,EUR,PRK,10317.5,9150.9,11715.2
2000,EUR,PYF,1560,1419,1712
2000,EUR,SGP,4096.5,3464,4934.3
2000,EUR,SLB,109,95,127
2000,EUR,THA,33029.5,29572.8,37127.6
2000,EUR,TKL,1,0,1
2000,EUR,TLS,850,760,957.1
2000,EUR,TON,8,8,10
2000,EUR,TUV,10,8,12
2000,EUR,TWN,20248.5,17810.7,23100.1
2000,EUR,USA,860497.5,759418.8,982085.6
2000,EUR,VNM,21659.5,18734.6,25497.2
2000,EUR,VUT,62,54,72
2000,EUR,WLF,45,39,52
2000,EUR,WSM,7,6,8
2000,EUR,AFR,0,0,0
2000,EUR,EUR,0,0,0
2000,EUR,ROA,0,0,0
2000,EUR,SCA,0,0,0
2000,FJI,AFG,0,0,0
2000,FJI,ASM,5,4,6
2000,FJI,AUS,1160,1031,1289.1
2000,FJI,BGD,39,34,44
2000,FJI,BRN,0,0,0
2000,FJI,BTN,0,0,0
2000,FJI,CAN,150,130,170
2000,FJI,CHN,211,176,258.1
2000,FJI,COK,1,1,2
2000,FJI,FJI,0,0,0
2000,FJI,FSM,0,0,0
2000,FJI,GUM,0,0,0
2000,FJI,HKG,4,3,5
2000,FJI,IDN,48,42,56
2000,FJI,IND,256,211,307.1
2000,FJI,IRN,0,0,0
2000,FJI,JPN,134,120,151
2000,FJI,KHM,0,0,0
2000,FJI,KIR,70,59,84
2000,FJI,KOR,20,18,23
2000,FJI,LAO,0,0,0
2000,FJI,LKA,0,0,0
2000,FJI,MAC,0,0,0
2000,FJI,MDV,0,0,0
2000,FJI,MHL,1,1,2
2000,FJI,MMR,0,0,0
2000,FJI,MNG,0,0,0
2000,FJI,MNP,0,0,0
2000,FJI,MYS,19,17,21
2000,FJI,NCL,7,7,9
2000,FJI,NIU,0,0,0
2000,FJI,NPL,0,0,0
2000,FJI,NRU,3,2,4
2000,FJI,NZL,567,501,634
2000,FJI,PAK,39,35,44
2000,FJI,PHL,8,7,9
2000,FJI,PLW,0,0,0
2000,FJI,PNG,311,253,390.1
2000,FJI,PRK,0,0,0
2000,FJI,PYF,37,32,44
2000,FJI,SGP,1,1,1
2000,FJI,SLB,36,30,43
2000,FJI,THA,2,1,2
