year,o_name,d_name,q10,q50,q90
2000,CHN,USA,703836.1,822230.5,971786.9
2000,CHN,VNM,36650,47708.5,63755.8
2000,CHN,VUT,23,27,34
2000,CHN,WLF,4,5,6
2000,CHN,WSM,24,29,37
2000,CHN,AFR,67702.8,80077,96277.6
2000,CHN,EUR,949899.2,1123521,1350832.3
2000,CHN,ROA,154346.5,182558,219493.2
2000,CHN,SCA,159635.1,188812.5,227013.2
2000,COK,AFG,0,0,0
2000,COK,ASM,0,0,0
2000,COK,AUS,37,47,58.1
2000,COK,BGD,0,0,1
2000,COK,BRN,0,0,0
2000,COK,BTN,0,0,0
2000,COK,CAN,0,0,0
2000,COK,CHN,0,0,0
2000,COK,COK,0,0,0
2000,COK,FJI,1,2,2
2000,COK,FSM,0,0,0
2000,COK,GUM,0,0,0
2000,COK,HKG,0,0,0
2000,COK,IDN,29,38,50
2000,COK,IND,0,0,0
2000,COK,IRN,0,0,0
2000,COK,JPN,21,27,33
2000,COK,KHM,0,0,0
2000,COK,KIR,0,0,0
2000,COK,KOR,0,0,1
2000,COK,LAO,0,0,0
2000,COK,LKA,0,0,0
2000,COK,MAC,0,0,0
2000,COK,MDV,0,0,0
2000,COK,MHL,0,0,0
2000,COK,MMR,0,0,0
2000,COK,MNG,0,0,0
2000,COK,MNP,0,0,0
2000,COK,MYS,0,0,0
2000,COK,NCL,0,0,0
2000,COK,NIU,0,0,0
2000,COK,NPL,0,0,0
2000,COK,NRU,0,0,0
2000,COK,NZL,84,108,133
2000,COK,PAK,0,0,0
2000,COK,PHL,1,1,2
2000,COK,PLW,0,0,0
2000,COK,PNG,1,2,2
2000,COK,PRK,0,0,0
2000,COK,PYF,0,0,1
2000,COK,SGP,0,0,0
2000,COK,SLB,0,0,0
2000,COK,THA,2,3,4
2000,COK,TKL,0,0,0
2000,COK,TLS,0,0,0
2000,COK,TON,0,0,0
2000,COK,TUV,0,0,0
2000,COK,TWN,0,0,0
2000,COK,USA,22,28,34
2000,COK,VNM,5,7,9
2000,COK,VUT,0,0,0
2000,COK,WLF,0,0,0
2000,COK,WSM,0,0,0
2000,COK,AFR,4,4,6
2000,COK,EUR,13,17,21
2000,COK,ROA,0,0,0
2000,COK,SCA,5,7,9
2000,EUR,AFG,23805.1,26805.5,30475.2
2000,EUR,ASM,0,0,0
2000,EUR,AUS,122238.7,122600,122986.2
